employee_id,name,role,level,vacation_days,days_worked,restaurant_id,is_manager
84,Alexander Newton,Cleaner,Mid,19,157,1,True
85,Tammy Farmer,Cleaner,Senior,23,206,17,True
86,William Williamson,Cook,Junior,20,118,7,False
87,Jerry Knight Jr.,Waiter,Junior,27,156,19,True
88,Lisa Best,Cook,Junior,22,247,9,True
89,Rachel Jackson,Cashier,Senior,26,201,10,True
90,James Rodriguez,Manager,Junior,18,123,7,False
91,Laura Johnson,Cleaner,Mid,17,154,20,True
92,Scott Martinez,Waiter,Senior,11,204,17,False
93,Michele Jones,Manager,Mid,1,126,17,True
94,Steven Jones,Waiter,Mid,2,176,20,True
95,Laura Mills,Manager,Junior,27,200,5,False
96,Erin Horton,Cashier,Junior,26,223,15,True
97,Wanda Smith,Waiter,Mid,30,107,6,True
98,Anne Thomas,Cleaner,Junior,19,212,8,False
99,Jay White,Cook,Mid,22,231,2,True
100,Alejandro Barrett,Cook,Senior,29,114,19,True
101,Donald Goodman,Cook,Junior,11,166,4,False
102,Cassandra Cunningham,Cleaner,Junior,13,232,18,False
103,Arthur Hood,Waiter,Mid,29,246,12,True
104,David Davis,Cashier,Junior,27,226,3,True
105,Billy Bowman,Cook,Senior,17,223,7,True
106,Justin Donovan,Cleaner,Junior,10,244,10,False
107,Adriana Cruz,Waiter,Junior,16,227,19,False
108,Danielle Rangel,Cook,Senior,15,225,1,True
109,Dr. Elizabeth Cherry,Manager,Mid,16,229,10,False
110,Miss April Hernandez,Cook,Junior,13,201,1,False
111,Daniel Williams,Waiter,Mid,27,233,17,True
112,Susan Olson,Cleaner,Senior,22,163,4,False
113,Tammy Ortega,Manager,Junior,26,232,6,False
114,Jason Hanson,Waiter,Junior,17,140,14,False
115,Samuel Olson,Waiter,Mid,15,171,13,True
116,Charles Bartlett,Cashier,Junior,12,128,11,False
117,Jeremy May,Cook,Mid,7,205,8,True
118,Donna Rice,Waiter,Mid,5,186,11,True
119,Lindsay Cruz MD,Manager,Junior,0,160,1,True
120,David Harmon,Waiter,Mid,21,117,14,True
121,Benjamin Bradford,Cook,Mid,17,213,14,True
122,Arthur Baker,Waiter,Senior,21,131,11,False
123,Teresa Barnett,Cook,Mid,0,211,1,False
124,Dr. Michele Scott,Waiter,Mid,20,127,8,False
125,Loretta Hoover,Manager,Junior,5,219,7,True
126,Michael Gonzales,Cashier,Junior,1,214,6,False
127,Jackie Thomas,Cashier,Junior,16,155,16,True
128,Sandra Hodges,Cleaner,Junior,3,136,11,False
129,Jamie Pruitt,Manager,Mid,27,121,4,False
130,Jennifer Holloway,Waiter,Mid,30,155,1,False
131,Darrell Wood,Manager,Junior,14,210,14,True
132,Jerry Jackson,Cook,Mid,12,248,16,True
133,Bruce Black,Cleaner,Senior,14,219,11,True
134,Carlos Hernandez,Cashier,Senior,19,131,13,True
135,Michelle Bradley,Cashier,Junior,6,157,16,True
136,James Young,Waiter,Mid,12,124,11,False
137,Angela Davis,Cook,Senior,28,168,6,True
138,Michael Benton,Cleaner,Senior,7,223,15,False
139,Jeremy Sullivan,Waiter,Mid,22,202,20,True
140,Jennifer Price,Manager,Senior,6,153,3,False
141,Amy Berry,Waiter,Junior,15,118,7,True
142,Kimberly Anderson,Manager,Senior,13,156,9,False
143,Erica Berry,Cleaner,Senior,3,189,6,True
144,Darlene Anderson,Manager,Senior,0,115,18,False
145,Melissa Jensen,Cashier,Mid,26,103,11,False
146,Alexandra Mcdaniel,Cleaner,Senior,22,210,18,False
147,Julia Martin,Manager,Junior,30,107,11,False
148,Brittany Lawrence,Cook,Mid,18,232,20,True
149,Catherine Nelson,Cashier,Junior,30,179,5,False
150,Crystal Johnson,Cook,Junior,16,239,16,False
151,Jeremy Barrera DDS,Cleaner,Junior,7,131,16,False
152,Matthew Lopez,Cook,Mid,24,122,2,False
153,Rebecca Gross,Manager,Junior,5,214,5,True
154,Carla Camacho,Cashier,Mid,14,109,13,False
155,Jessica Smith,Cashier,Senior,8,184,3,True
156,Ashley Gomez,Manager,Mid,1,218,17,False
157,Christopher Quinn,Waiter,Senior,17,170,13,False
158,Diane Webster,Waiter,Senior,9,142,1,True
159,Thomas Wallace,Waiter,Junior,20,157,12,True
160,Donald Ortiz,Cleaner,Mid,6,111,4,True
161,Lynn Morrison,Cook,Mid,27,161,6,False
162,Cassandra Stuart,Cook,Mid,20,191,8,True
163,Billy Lyons,Cleaner,Junior,9,182,8,False
164,Andrew Adams,Waiter,Mid,21,199,15,False
165,Lindsey Parker,Manager,Junior,24,103,8,True
166,Samantha Swanson,Cleaner,Mid,5,244,2,True
167,Curtis Bell,Cook,Senior,13,237,16,True
168,Randy Avery,Manager,Senior,25,160,14,False
169,Mrs. Kim Cobb MD,Cook,Mid,14,226,4,False
170,Tyler Hawkins,Cook,Senior,28,217,20,False
171,Tiffany Fisher,Manager,Junior,9,129,15,False
172,Michael Webb,Manager,Senior,1,150,18,False
173,Robert Hull,Cashier,Senior,10,147,6,False
174,April Beard,Manager,Mid,13,183,6,False
175,Douglas Lambert,Cleaner,Mid,10,172,18,True
176,Morgan Smith,Cook,Mid,26,135,12,True
177,Scott Stephens,Cashier,Senior,7,141,20,True
178,Amanda Adams,Manager,Senior,5,141,5,True
179,Brenda Peters,Cashier,Mid,17,250,20,True
180,Sandy Morse,Cleaner,Senior,12,124,4,True
181,Mr. Matthew Morales Jr.,Cleaner,Senior,30,171,3,True
182,Patrick Lewis,Cleaner,Junior,7,142,7,True
183,Julia Hamilton,Manager,Mid,9,102,13,False
184,Jenna Henderson,Cleaner,Mid,3,183,19,True
185,Rodney Martin,Manager,Senior,21,238,9,False
186,Charles Jones,Cleaner,Senior,17,121,1,False
187,Brian Bolton,Waiter,Mid,3,144,16,True
188,Jesse Martin,Cook,Junior,15,232,11,True
189,Joshua Medina,Waiter,Junior,18,247,2,False
190,Derrick Hernandez,Cook,Mid,21,248,8,False
191,Zachary Jenkins,Waiter,Mid,19,249,5,True
192,Christopher Turner,Cashier,Mid,14,198,6,True
193,Jeffrey Williams,Cashier,Senior,25,131,20,False
194,Zachary Shannon,Waiter,Mid,27,216,18,False
195,Andrea Hanson,Cook,Mid,18,152,15,False
196,Marie Butler,Cleaner,Mid,17,214,8,False
197,Stephanie Kelly,Cook,Senior,13,172,20,False
198,Kenneth Smith,Cleaner,Mid,14,188,20,False
199,Melissa Clark,Waiter,Junior,4,174,20,True
200,Jacqueline Stone,Manager,Junior,2,110,13,False
