employee_id,name,role,level,vacation_days,days_worked,restaurant_id,is_manager
65,Meagan Berger,Waiter,Mid,13,196,20,False
66,Alicia Jones,Cook,Junior,11,228,2,True
67,Richard Bell,Cook,Junior,16,161,4,True
68,John Mcmillan,Waiter,Senior,25,139,13,True
69,Ms. Marissa Vasquez PhD,Cleaner,Senior,1,129,20,False
70,Vicki Garrett,Manager,Senior,16,111,10,False
71,Andrea Anthony,Cleaner,Senior,22,206,4,False
72,Alexis Robinson,Waiter,Junior,9,231,9,False
73,Garrett Brooks,Cleaner,Senior,12,123,11,True
74,Robin Sloan,Cleaner,Senior,7,142,11,False
75,John Robertson,Waiter,Senior,19,228,8,True
76,Brian Peterson,Cook,Mid,28,168,10,True
77,Cody Cervantes,Cook,Mid,17,225,3,False
78,Samantha Smith,Cashier,Senior,17,245,19,True
79,Christopher Evans,Cashier,Mid,29,202,13,True
80,Anthony Woodward,Waiter,Senior,26,167,13,True
81,Kyle Graves,Manager,Mid,0,113,15,True
82,Spencer Nelson,Waiter,Junior,5,171,18,True
83,Jesse Rodriguez,Cashier,Senior,0,207,9,True
84,Alexander Newton,Cleaner,Mid,19,157,6,True
85,Tammy Farmer,Cleaner,Senior,23,206,18,True
86,William Williamson,Cook,Junior,20,118,17,False
87,Jerry Knight Jr.,Waiter,Junior,27,156,19,True
88,Lisa Best,Cook,Junior,22,247,7,True
89,Rachel Jackson,Cashier,Senior,26,201,14,True
90,James Rodriguez,Manager,Junior,18,123,4,False
91,Laura Johnson,Cleaner,Mid,17,154,16,True
92,Scott Martinez,Waiter,Senior,11,204,11,False
93,Michele Jones,Manager,Mid,1,126,7,True
94,Steven Jones,Waiter,Mid,2,176,14,True
95,Laura Mills,Manager,Junior,27,200,12,False
96,Erin Horton,Cashier,Junior,26,223,15,True
97,Wanda Smith,Waiter,Mid,30,107,5,True
98,Anne Thomas,Cleaner,Junior,19,212,20,False
99,Jay White,Cook,Mid,22,231,13,True
100,Alejandro Barrett,Cook,Senior,29,114,1,True
101,Donald Goodman,Cook,Junior,11,166,1,False
102,Cassandra Cunningham,Cleaner,Junior,13,232,9,False
103,Arthur Hood,Waiter,Mid,29,246,5,True
104,David Davis,Cashier,Junior,27,226,16,True
105,Billy Bowman,Cook,Senior,17,223,16,True
106,Justin Donovan,Cleaner,Junior,10,244,16,False
107,Adriana Cruz,Waiter,Junior,16,227,14,False
108,Danielle Rangel,Cook,Senior,15,225,16,True
109,Dr. Elizabeth Cherry,Manager,Mid,16,229,4,False
110,Miss April Hernandez,Cook,Junior,13,201,19,False
111,Daniel Williams,Waiter,Mid,27,233,2,True
112,Susan Olson,Cleaner,Senior,22,163,5,False
113,Tammy Ortega,Manager,Junior,26,232,14,False
114,Jason Hanson,Waiter,Junior,17,140,12,False
115,Samuel Olson,Waiter,Mid,15,171,1,True
116,Charles Bartlett,Cashier,Junior,12,128,13,False
117,Jeremy May,Cook,Mid,7,205,8,True
118,Donna Rice,Waiter,Mid,5,186,4,True
119,Lindsay Cruz MD,Manager,Junior,0,160,15,True
120,David Harmon,Waiter,Mid,21,117,18,True
121,Benjamin Bradford,Cook,Mid,17,213,15,True
122,Arthur Baker,Waiter,Senior,21,131,2,False
123,Teresa Barnett,Cook,Mid,0,211,14,False
124,Dr. Michele Scott,Waiter,Mid,20,127,14,False
125,Loretta Hoover,Manager,Junior,5,219,12,True
126,Michael Gonzales,Cashier,Junior,1,214,11,False
127,Jackie Thomas,Cashier,Junior,16,155,20,True
128,Sandra Hodges,Cleaner,Junior,3,136,6,False
129,Jamie Pruitt,Manager,Mid,27,121,16,False
130,Jennifer Holloway,Waiter,Mid,30,155,11,False
131,Darrell Wood,Manager,Junior,14,210,16,True
132,Jerry Jackson,Cook,Mid,12,248,8,True
133,Bruce Black,Cleaner,Senior,14,219,9,True
134,Carlos Hernandez,Cashier,Senior,19,131,20,True
135,Michelle Bradley,Cashier,Junior,6,157,17,True
136,James Young,Waiter,Mid,12,124,12,False
137,Angela Davis,Cook,Senior,28,168,7,True
138,Michael Benton,Cleaner,Senior,7,223,11,False
139,Jeremy Sullivan,Waiter,Mid,22,202,3,True
140,Jennifer Price,Manager,Senior,6,153,17,False
141,Amy Berry,Waiter,Junior,15,118,12,True
142,Kimberly Anderson,Manager,Senior,13,156,3,False
143,Erica Berry,Cleaner,Senior,3,189,8,True
144,Darlene Anderson,Manager,Senior,0,115,17,False
145,Melissa Jensen,Cashier,Mid,26,103,4,False
146,Alexandra Mcdaniel,Cleaner,Senior,22,210,16,False
147,Julia Martin,Manager,Junior,30,107,3,False
148,Brittany Lawrence,Cook,Mid,18,232,14,True
149,Catherine Nelson,Cashier,Junior,30,179,16,False
150,Crystal Johnson,Cook,Junior,16,239,19,False
151,Jeremy Barrera DDS,Cleaner,Junior,7,131,2,False
152,Matthew Lopez,Cook,Mid,24,122,6,False
153,Rebecca Gross,Manager,Junior,5,214,17,True
154,Carla Camacho,Cashier,Mid,14,109,14,False
155,Jessica Smith,Cashier,Senior,8,184,1,True
156,Ashley Gomez,Manager,Mid,1,218,4,False
157,Christopher Quinn,Waiter,Senior,17,170,8,False
158,Diane Webster,Waiter,Senior,9,142,15,True
159,Thomas Wallace,Waiter,Junior,20,157,15,True
160,Donald Ortiz,Cleaner,Mid,6,111,15,True
161,Lynn Morrison,Cook,Mid,27,161,5,False
162,Cassandra Stuart,Cook,Mid,20,191,2,True
163,Billy Lyons,Cleaner,Junior,9,182,9,False
164,Andrew Adams,Waiter,Mid,21,199,15,False
165,Lindsey Parker,Manager,Junior,24,103,12,True
166,Samantha Swanson,Cleaner,Mid,5,244,11,True
167,Curtis Bell,Cook,Senior,13,237,10,True
168,Randy Avery,Manager,Senior,25,160,8,False
169,Mrs. Kim Cobb MD,Cook,Mid,14,226,11,False
170,Tyler Hawkins,Cook,Senior,28,217,4,False
171,Tiffany Fisher,Manager,Junior,9,129,20,False
172,Michael Webb,Manager,Senior,1,150,18,False
173,Robert Hull,Cashier,Senior,10,147,8,False
174,April Beard,Manager,Mid,13,183,20,False
175,Douglas Lambert,Cleaner,Mid,10,172,10,True
176,Morgan Smith,Cook,Mid,26,135,19,True
177,Scott Stephens,Cashier,Senior,7,141,1,True
178,Amanda Adams,Manager,Senior,5,141,12,True
179,Brenda Peters,Cashier,Mid,17,250,10,True
180,Sandy Morse,Cleaner,Senior,12,124,19,True
181,Mr. Matthew Morales Jr.,Cleaner,Senior,30,171,2,True
182,Patrick Lewis,Cleaner,Junior,7,142,12,True
183,Julia Hamilton,Manager,Mid,9,102,20,False
184,Jenna Henderson,Cleaner,Mid,3,183,11,True
185,Rodney Martin,Manager,Senior,21,238,8,False
186,Charles Jones,Cleaner,Senior,17,121,1,False
187,Brian Bolton,Waiter,Mid,3,144,11,True
188,Jesse Martin,Cook,Junior,15,232,4,True
189,Joshua Medina,Waiter,Junior,18,247,10,False
190,Derrick Hernandez,Cook,Mid,21,248,1,False
191,Zachary Jenkins,Waiter,Mid,19,249,13,True
192,Christopher Turner,Cashier,Mid,14,198,16,True
193,Jeffrey Williams,Cashier,Senior,25,131,11,False
194,Zachary Shannon,Waiter,Mid,27,216,4,False
195,Andrea Hanson,Cook,Mid,18,152,7,False
196,Marie Butler,Cleaner,Mid,17,214,8,False
197,Stephanie Kelly,Cook,Senior,13,172,19,False
198,Kenneth Smith,Cleaner,Mid,14,188,15,False
199,Melissa Clark,Waiter,Junior,4,174,13,True
200,Jacqueline Stone,Manager,Junior,2,110,15,False
